Nom_commune;Coordonnees_gps;Departement
ST ERBLON;47.7867130682, -1.15831425112;MAYENNE
SENS DE BRETAGNE;48.3367315734, -1.55392717615;ILE ET VILAINE
HENNEVEUX;50.7258740136, 1.84583997521;PAS DE CALAIS
LE NEUFBOURG;48.6630193769, -0.947435614235;MANCHE
ARDENAY SUR MERIZE;47.9936344647, 0.428021491681;SARTHE
ST MAXIMIN LA STE BAUME;43.4509676414, 5.85962873535;VAR
SISTELS;44.0529870158, 0.78331430404;TARN ET GARONNE
CRAVANT;47.8334827429, 1.58096102473;LOIRET
VESAIGNES SOUS LAFAUCHE;48.284900446, 5.44400289784;HAUTE MARNE
MIGE;47.676526095, 3.53286271854;YONNE
AULNOY SUR AUBE;47.8312576468, 5.03398861314;HAUTE MARNE
ST MARTIN;48.571711252, 6.74965214111;MEURTHE ET MOSELLE
BILLANCOURT;49.7384473061, 2.8992050536;SOMME
BEISSAT;45.7647646424, 2.28346440159;CREUSE
ENCAUSSE LES THERMES;43.0532848166, 0.746258275934;HAUTE GARONNE
TAURIAC DE CAMARES;43.7765492565, 3.03077499172;AVEYRON
BAILLOU;47.9837179954, 0.853704116727;LOIR ET CHER
THURET;45.9738532514, 3.26184697421;PUY DE DOME
ST MAMET;42.7721497785, 0.630003335404;HAUTE GARONNE
CHANGY;46.4121876754, 4.2519227256;SAONE ET LOIRE
POMPIERRE;48.2746496392, 5.67619878107;VOSGES
DOMEVRE SOUS MONTFORT;48.2560865469, 6.0742479826;VOSGES
TRADES;46.2738901496, 4.56614765059;RHONE
REMUZAT;44.4038075452, 5.35604206561;DROME
ATHIES SOUS LAON;49.5757750686, 3.69006632109;AISNE
MOUSSEAUX LES BRAY;48.3959388077, 3.22954318005;SEINE ET MARNE
DOMPREMY;48.7333043849, 4.73803791435;MARNE
KNOERSHEIM;48.6796467865, 7.45825135776;BAS RHIN
SIAUGUES STE MARIE;45.0787632702, 3.62714763448;HAUTE LOIRE
BISCHHOLTZ;48.8907710974, 7.53068422833;BAS RHIN
MAISONCELLES EN BRIE;48.858937632, 2.99380875199;SEINE ET MARNE
AUCELON;44.6170780241, 5.35427948419;DROME
