Nom_commune;Coordonnees_gps;Departement 
PREYSSAC D EXCIDEUIL;45.3419567033, 1.10725833882;DORDOGNE
ST SORLIN DE MORESTEL;45.6330000577, 5.47273562347;ISERE
CHORANCHE;45.071206623, 5.39354497889;ISERE
TURENNE;45.0610532957, 1.57106480469;CORREZE
CODOGNAN;43.7226508777, 4.2269417423;GARD
MORGNY LA POMMERAYE;49.5199542797, 1.25089069783;SEINE MARITIME
HOLQUE;50.856500023, 2.2050645429;NORD
ST LOUIS LES BITCHE;48.9900389284, 7.35271084125;MOSELLE
LA ROQUE ALRIC;44.1448441393, 5.06883398959;VAUCLUSE
RIMOU;48.3879829755, -1.52823061249;ILE ET VILAINE
CHUISNES;48.4370118675, 1.1888981198;EURE ET LOIR
PASILLY;47.7025345935, 4.08341992562;YONNE
MAROLLES EN BRIE;48.7394780616, 2.55491338455;VAL DE MARNE
TOCANE ST APRE;45.2373278199, 0.496959112951;DORDOGNE
MONTBIZOT;48.1530640298, 0.182398817667;SARTHE
ST OUEN DE SECHEROUVRE;48.5987945928, 0.492195334785;ORNE
CAMLEZ;48.7831858864, -3.31551057887;COTES D ARMOR
CROIX CALUYAU;50.152088377, 3.58548579583;NORD
SPEZET;48.1857593376, -3.69132351095;FINISTERE
ROCHECHINARD;45.0272825113, 5.24326609957;DROME
ALLY;45.1502850873, 3.3167176948;HAUTE LOIRE
BANIZE;45.9368272021, 1.99756920373;CREUSE
COUDUN;49.4581784318, 2.8000113018;OISE
KAPPELEN;47.6138112548, 7.44104846641;HAUT RHIN
ST PROJET;44.7472704411, 1.51114352201;LOT
CHAMPAGNAT;46.0202394723, 2.28670592425;CREUSE
VILLAMBLAIN;48.0129025653, 1.55246267039;LOIRET
SERANVILLERS FORENVILLE;50.1266132129, 3.27725549348;NORD
MOURMELON LE GRAND;49.1326106985, 4.38710569439;MARNE
NAMPCELLES LA COUR;49.7765756098, 4.00209910519;AISNE
ST BONNET LES TOURS DE MERLE;45.0549433234, 2.05205394933;CORREZE
QUESQUES;50.7016785113, 1.9419210746;PAS DE CALAIS
BAILLY AUX FORGES;48.4543823566, 4.90549135186;HAUTE MARNE
LACAPELLE PINET;44.0677076414, 2.35434693156;TARN
VILLY;47.8668272951, 3.74734170454;YONNE
MAZINGARBE;50.4684201259, 2.72581419392;PAS DE CALAIS
STE FLORENCE;44.8173313426, -0.0924823027936;GIRONDE
ST OUEN LE BRISOULT;48.5091783781, -0.350727640894;ORNE
MALANGE;47.1838419032, 5.61461645047;JURA
ST MARTIN DES MONTS;48.1512082085, 0.597953696239;SARTHE
HARCIGNY;49.80256362, 3.9828364762;AISNE
GUERON;49.2476651518, -0.709843889765;CALVADOS
DRACY LE FORT;46.7967008104, 4.77049585592;SAONE ET LOIRE
AUBENAS;44.6102127084, 4.39638981424;ARDECHE
BONLIER;49.4727781384, 2.14990842093;OISE
ST PAUL LES ROMANS;45.0586462417, 5.12685510741;DROME
ST VAAST DU VAL;49.6860662177, 1.00949278238;SEINE MARITIME
ST FELIX;49.3548770591, 2.28412904405;OISE
MAROLLES EN BRIE;48.7741847386, 3.16145494015;SEINE ET MARNE
MALMY;49.1805031948, 4.81024077767;MARNE
FOURILLES;46.2438583922, 3.19784046802;ALLIER
ST GOURGON;47.6608251122, 1.0124485184;LOIR ET CHER
LUCHEUX;50.2007727466, 2.41954614841;SOMME
MONPARDIAC;43.4636060332, 0.245133551575;GERS
MASCARVILLE;43.5587512833, 1.75383087377;HAUTE GARONNE
L EPINE AUX BOIS;48.8992804015, 3.44384138078;AISNE
ST GERVAIS LA FORET;47.5607456407, 1.36138962511;LOIR ET CHER
NOAILLES;49.3185654473, 2.19363262342;OISE
VELAINES;48.6973807648, 5.29679363324;MEUSE
MONTCLUS;44.2694461878, 4.41823005524;GARD
VELAUX;43.5239854581, 5.24996424883;BOUCHES DU RHONE
LAAS;43.4720603975, 0.301177050148;GERS
ARCEY;47.5194914432, 6.65186946515;DOUBS
BARBONNE FAYEL;48.654016669, 3.68784800525;MARNE
MANSEMPUY;43.7436576149, 0.811351998027;GERS
ST GENIS POUILLY;46.254539333, 6.0362907345;AIN
BRUCAMPS;50.071318862, 2.05279274058;SOMME
DUPPIGHEIM;48.5331312304, 7.59599375258;BAS RHIN
VILLEJOUBERT;45.8074616252, 0.173120462313;CHARENTE
SAUSSINES;43.758954777, 4.05038800559;HERAULT
BRESSOLS;43.9544945655, 1.31611180901;TARN ET GARONNE
BONREPOS SUR AUSSONNELLE;43.5441107951, 1.13701796182;HAUTE GARONNE
LA CHAUDIERE;44.6310856733, 5.22468176139;DROME
PERIGNY;48.6968359635, 2.56167940426;VAL DE MARNE
VARANGES;47.2348268799, 5.19088383489;COTE D OR
THELIGNY;48.1717914833, 0.785600114205;SARTHE
LOGNY BOGNY;49.7757948758, 4.38773514062;ARDENNES
ST FELIX DE BOURDEILLES;45.4073734663, 0.565567317606;DORDOGNE
GEE RIVIERE;43.6757883164, -0.186939058119;GERS
MIMET;43.4128431127, 5.49899491017;BOUCHES DU RHONE
FREYBOUSE;48.9986501647, 6.77863114276;MOSELLE
CORMORANCHE SUR SAONE;46.2403530179, 4.8276569593;AIN
JUILLAC;45.3226150546, 1.29232118318;CORREZE
PALAJA;43.1671058484, 2.38726861011;AUDE
MOUTIERS;49.2325832585, 5.95571904292;MEURTHE ET MOSELLE
HATTEN;48.8939645842, 8.00687514269;BAS RHIN
DRUSENHEIM;48.7609264205, 7.94563844601;BAS RHIN
OYEU;45.4274505456, 5.48004933768;ISERE
ANTAGNAC;44.3562107379, -0.00209058322762;LOT ET GARONNE
REMINIAC;47.8638253053, -2.25279250004;MORBIHAN
VAUDEVILLE LE HAUT;48.4489987899, 5.58915571674;MEUSE
VILLASAVARY;43.2319320444, 2.03314267274;AUDE
ST AGNAN EN VERCORS;44.896792332, 5.44160263815;DROME
SANILHAC;44.5327416488, 4.23228758163;ARDECHE
CHAVIGNON;49.4794437147, 3.51936895626;AISNE
TOURCOING;50.7254418902, 3.15882757215;NORD
VITRAY EN BEAUCE;48.276512121, 1.42369112578;EURE ET LOIR
BACONNES;49.1643635921, 4.33841654965;MARNE
NORDHEIM;48.6396017162, 7.50080829789;BAS RHIN
CHEISSOUX;45.831716182, 1.63811418482;HAUTE VIENNE
WALLERS;50.3808461182, 3.39313610701;NORD
BLINGEL;50.4051757793, 2.15016843833;PAS DE CALAIS
BUNZAC;45.6993800816, 0.344082378962;CHARENTE
AUTHON;44.2492545518, 6.15102271049;ALPES DE HAUTE PROVENCE
VIMENET;44.4000547322, 2.92952468147;AVEYRON
BOLSENHEIM;48.425239497, 7.6039565984;BAS RHIN
ANROSEY;47.8449228993, 5.66083228787;HAUTE MARNE
FONTCLAIREAU;45.8918936624, 0.196980841137;CHARENTE
HUNINGUE;47.5888753858, 7.58124251727;HAUT RHIN
MORANVILLE;49.1788762926, 5.54050637938;MEUSE
MAZILLE;46.391550747, 4.59913263178;SAONE ET LOIRE
GOURAINCOURT;49.298652581, 5.66811972316;MEUSE
CUXAC D AUDE;43.2578013318, 3.00547549948;AUDE
MONTCLAR;44.401613844, 6.34112805174;ALPES DE HAUTE PROVENCE
LA CHAPELLE DES MARAIS;47.4371350794, -2.24565131355;LOIRE ATLANTIQUE
DOMMERY;49.6799788217, 4.48172197244;ARDENNES
VERNANTES;47.3942457572, 0.0285780026834;MAINE ET LOIRE
ISDES;47.6638922012, 2.2607343727;LOIRET
SALSIGNE;43.3220104211, 2.35660329319;AUDE
BERNON;47.9870798337, 3.99246812197;AUBE
CHATELDON;45.9733956022, 3.55296275066;PUY DE DOME
CHAVANNE;47.5588510857, 6.65836633701;HAUTE SAONE
LANESTER;47.7691924277, -3.32648317962;MORBIHAN
LABEGUDE;44.6420481125, 4.35738052578;ARDECHE
CAMELAS;42.6394607157, 2.68891489054;PYRENEES ORIENTALES
LE MAS D ARTIGE;45.7343897624, 2.1863210182;CREUSE
PERCY EN AUGE;49.0598706547, -0.060058486621;CALVADOS
VERONNE;44.7363252417, 5.20695979719;DROME
PERTHES;48.6633775695, 4.81457659756;HAUTE MARNE
LACHAPELLE;43.9851541381, 0.841507103238;TARN ET GARONNE
MONTMAUR;44.5897361415, 5.88561114683;HAUTES ALPES
ST CALAIS DU DESERT;48.490532997, -0.250672513735;MAYENNE
LE BOUCHON SUR SAULX;48.6090454105, 5.22782104309;MEUSE
BELBEUF;49.3848813848, 1.13840658151;SEINE MARITIME
MONTMORT;46.7418911079, 4.09607288589;SAONE ET LOIRE
TERNUAY MELAY ET ST HILAIRE;47.7961623597, 6.6326445002;HAUTE SAONE
LES AVANCHERS VALMOREL;45.4607199042, 6.44362178612;SAVOIE
ST HILAIRE EN WOEVRE;49.074793582, 5.70636197976;MEUSE
BENAYES;45.5230685233, 1.46845374515;CORREZE
BAULOU;43.0181651187, 1.54215154554;ARIEGE
GENISSIEUX;45.0819148, 5.09023746222;DROME
CRESPIN;44.0469014925, 2.30614613299;TARN
TORCE;48.06102043, -1.27189716204;ILE ET VILAINE
ST LARY BOUJEAN;43.2218813039, 0.740007283521;HAUTE GARONNE
HURTIGHEIM;48.6171752515, 7.6034009548;BAS RHIN
DINEAULT;48.2166455285, -4.16674767247;FINISTERE
STE MARGUERITE;45.2105754797, 3.58257296293;HAUTE LOIRE
PAULHIAC;44.5751133813, 0.826150001354;LOT ET GARONNE
GOTEIN LIBARRENX;43.1917199949, -0.889247440623;PYRENEES ATLANTIQUES
SAULNIERES;47.9194668221, -1.57761100368;ILE ET VILAINE
ROCHEFOURCHAT;44.6049174484, 5.2414538181;DROME
SALVIAC;44.6854910837, 1.26478802676;LOT
TOURCELLES CHAUMONT;49.3980524816, 4.60160757563;ARDENNES
CLUIS;46.5352767635, 1.74340331959;INDRE
ST MICHEL DE CHAILLOL;44.6888900905, 6.16982010891;HAUTES ALPES
SENNEVILLE SUR FECAMP;49.7721134849, 0.41525001597;SEINE MARITIME
LUXIOL;47.3794904167, 6.34776109043;DOUBS
CHAUMONT;46.8416938785, 2.75008563898;CHER
BONAS;43.7790627499, 0.405172476722;GERS
MARIEULLES;49.0056098276, 6.11076140538;MOSELLE
MONTIGNY LE BRETONNEUX;48.779658781, 2.02952194549;YVELINES
SOLBACH;48.4311691709, 7.19975808177;BAS RHIN
CAMPS EN AMIENOIS;49.8837326113, 1.9644871607;SOMME
BEY SUR SEILLE;48.7957774029, 6.33608176026;MEURTHE ET MOSELLE
FRAMICOURT;49.9560141048, 1.67720723941;SOMME
LA VACQUERIE ET ST MARTIN DE CASTRIES;43.7940763777, 3.481075382;HERAULT
ST JULIEN LE PETIT;45.8226789716, 1.70562230623;HAUTE VIENNE
JUZIERS;48.9999173467, 1.84036602544;YVELINES
VIVES;42.5292840825, 2.767358635;PYRENEES ORIENTALES
FRAIMBOIS;48.525553895, 6.54242224099;MEURTHE ET MOSELLE
BOULAZAC ISLE MANOIRE;45.1737726952, 0.769368950586;DORDOGNE
MISSE;46.9558568224, -0.175760650961;DEUX SEVRES
BASSENEVILLE;49.2067455591, -0.135002451422;CALVADOS
ANGOVILLE;48.9437761025, -0.373433111551;CALVADOS
ARRAINCOURT;48.9760540573, 6.53048540164;MOSELLE
AMBRIERES LES VALLEES;48.4227200634, -0.624160085775;MAYENNE
LAGNEY;48.7452329012, 5.82895253417;MEURTHE ET MOSELLE
ESPLAS;43.1866045103, 1.4996220667;ARIEGE
SAVIGNY SOUS FAYE;46.8700526474, 0.290887370241;VIENNE
ST YAN;46.4071746209, 4.05766988687;SAONE ET LOIRE
SURTAUVILLE;49.1981722844, 1.05434427068;EURE
NABRINGHEN;50.7417350163, 1.86256483299;PAS DE CALAIS
LOUAILLES;47.78323872, -0.239390755386;SARTHE
VAUJOURS;48.9324772605, 2.5810025704;SEINE SAINT DENIS
POILLY LEZ GIEN;47.6604278925, 2.59453051579;LOIRET
TENDE;44.0997669286, 7.54053179417;ALPES MARITIMES
BONNOEIL;48.9225053811, -0.36568142159;CALVADOS
VILLARGENT;47.5420470778, 6.48586205018;HAUTE SAONE
ST PRIEST LA VETRE;45.8015242352, 3.80979787497;LOIRE
LA CHARME;46.8485608193, 5.54676526867;JURA
ST VERAND;45.1823968662, 5.34320073942;ISERE
ST DENIS SUR HUISNE;48.4707648584, 0.531647869938;ORNE
COGNIN LES GORGES;45.1707745385, 5.41758874544;ISERE
ESTENSAN;42.8164167593, 0.344902286039;HAUTES PYRENEES
ST SAUVEUR EN RUE;45.2712880618, 4.50055395379;LOIRE
MARSEILLE 10;43.2755155435, 5.42681101081;BOUCHES DU RHONE
MAISNIL LES RUITZ;50.4477765466, 2.57828775042;PAS DE CALAIS
COMPREGNAC;44.0964783684, 2.97961913091;AVEYRON
ESPARRON;44.4627395922, 5.89302848154;HAUTES ALPES
ST VOUGAY;48.589150749, -4.1458078023;FINISTERE
VERDON;44.8143389523, 0.630459003039;DORDOGNE
MOUSSAC;43.9775652657, 4.23531660629;GARD
MAUVEZIN;43.7315774069, 0.866244798675;GERS
LERE;47.4660367439, 2.8732698385;CHER
WALTENHEIM SUR ZORN;48.7430310189, 7.62201950135;BAS RHIN
LANGOAT;48.7347929151, -3.29767130606;COTES D ARMOR
OUGE;47.7986582876, 5.70114635642;HAUTE SAONE
ST EUTROPE;45.4216917443, 0.108407115609;CHARENTE
COURLAOUX;46.6694520389, 5.44937543437;JURA
ST DAUNES;44.3601858859, 1.22469783155;LOT
PONTORSON;48.5689721753, -1.48653363271;MANCHE
THIRE;46.5433098199, -1.00699777534;VENDEE
BOISSIERES;44.5478641839, 1.40820020858;LOT
PETITE ROSSELLE;49.2095397191, 6.85924244683;MOSELLE
MUNTZENHEIM;48.1008840089, 7.46904401123;HAUT RHIN
POULAN POUZOLS;43.8582952155, 2.10793696053;TARN
ST MARCOUF;49.4783175934, -1.28643297158;MANCHE
LAIGNEVILLE;49.2973604415, 2.43493025435;OISE
SALOME;50.5358395709, 2.83692247297;NORD
LE HORPS;48.3894551796, -0.46306709899;MAYENNE
LA ROCHE MABILE;48.489577366, -0.0663745074632;ORNE
VILLERS LES POTS;47.2102286765, 5.34734391445;COTE D OR
GOUVILLE SUR MER;49.0979435491, -1.57923308824;MANCHE
PULVERIERES;45.8821936223, 2.92228975912;PUY DE DOME
ARPAVON;44.370914993, 5.27351034083;DROME
MALVEZIE;43.0069388711, 0.700137350744;HAUTE GARONNE
PELISSANNE;43.6308385635, 5.15957327275;BOUCHES DU RHONE
MERCENAC;43.0533409773, 1.06840881939;ARIEGE
LES ROISES;48.457800837, 5.63400298857;MEUSE
BELVOIR;47.3204509984, 6.61674302233;DOUBS
ARSANS;47.3672852842, 5.63154249443;HAUTE SAONE
ATHIES;50.3071331522, 2.84195049899;PAS DE CALAIS
BROUAINS;48.720771214, -0.966952494174;MANCHE
VERSAILLES;48.8025669671, 2.11789297191;YVELINES
TRESSANGE;49.4096807012, 5.98237050725;MOSELLE
WILLER SUR THUR;47.8518062106, 7.0803395975;HAUT RHIN
HARTENNES ET TAUX;49.2789534457, 3.35763287633;AISNE
LAVIGNAC;45.7194893338, 1.12198041488;HAUTE VIENNE
ST CARADEC TREGOMEL;48.0321760477, -3.35137450933;MORBIHAN
DESINGY;45.9994978895, 5.88777092004;HAUTE SAVOIE
USCLAS D HERAULT;43.5218019107, 3.46731273264;HERAULT
MEILLY SUR ROUVRES;47.2060045019, 4.55254034085;COTE D OR
SCEY MAISIERES;47.1092770576, 6.07924521048;DOUBS
VIGNOT;48.7806834874, 5.61241732944;MEUSE
AUGEROLLES;45.7367380515, 3.63089700637;PUY DE DOME
NOROY LE BOURG;47.6038475858, 6.28890431672;HAUTE SAONE
CAUMONT;43.024099366, 1.07931622344;ARIEGE
CHAVANNES;45.1039110552, 4.92378813351;DROME
SARAZ;46.9920963588, 5.97458498115;DOUBS
OUESSANT;48.4601042319, -5.08534533544;FINISTERE
ST AIGNAN SUR ROE;47.8498132435, -1.14052509792;MAYENNE
ERBRAY;47.6690929055, -1.32185881383;LOIRE ATLANTIQUE
ST MARTIN DE FENOUILLET;42.7853593201, 2.47859695441;PYRENEES ORIENTALES
LA CLAYETTE;46.2892944317, 4.31079967145;SAONE ET LOIRE
MERCUS GARRABET;42.8795171828, 1.6442180232;ARIEGE
DAMOUZY;49.8078625356, 4.68275479067;ARDENNES
PASSENANS;46.8041484132, 5.62414168281;JURA
ROCLES;44.7026866095, 3.78578869081;LOZERE
LIEURAN CABRIERES;43.5916311464, 3.40878385733;HERAULT
BINIC ETABLES SUR MER;48.6255350477, -2.8413899481;COTES D ARMOR
ROUEN;49.4413460103, 1.09256784278;SEINE MARITIME
RECULFOZ;46.71075258, 6.14869649896;DOUBS
ST DENIS D ANJOU;47.7899907217, -0.443836396748;MAYENNE
LA CHAUX;47.0192694963, 6.41470158275;DOUBS
LANTA;43.561512681, 1.66802980553;HAUTE GARONNE
TRECON;48.8665837423, 4.08841746273;MARNE
MOUHOUS;43.4918785951, -0.25442895349;PYRENEES ATLANTIQUES
VIEUX MOULIN;49.3844925116, 2.92575839247;OISE
FRANCLENS;46.0440349953, 5.82444988041;HAUTE SAVOIE
AUDINCOURT;47.4811676376, 6.85493983157;DOUBS
ST ARNOULT;47.7074785599, 0.869606203276;LOIR ET CHER
ASNIERES SUR NOUERE;45.7078415562, 0.0487826997236;CHARENTE
FONTENAY SOUS BOIS;48.8511046382, 2.47395409774;VAL DE MARNE
VIOLS LE FORT;43.7367573026, 3.69220324597;HERAULT
MADECOURT;48.239342474, 6.11505012899;VOSGES
FRAUENBERG;49.1339601858, 7.11539380178;MOSELLE
ST DENIS LES PONTS;48.0613637512, 1.27228736611;EURE ET LOIR
ACHEN;49.046252952, 7.18366864797;MOSELLE
MACHILLY;46.2555120151, 6.32281411543;HAUTE SAVOIE
ADON;47.7642683732, 2.7978849949;LOIRET
TAMERVILLE;49.5419972354, -1.46098146273;MANCHE
BELMONT;47.0281412034, 5.60483401256;JURA
PERRIGNY;47.8264618403, 3.52927414133;YONNE
LE NEUFOUR;49.1295802161, 4.98375457706;MEUSE
PECQUENCOURT;50.3763502504, 3.21867627513;NORD
CHAMPENOUX;48.7344291014, 6.35304245931;MEURTHE ET MOSELLE
MONTIGNY;49.4586828943, 0.997604647989;SEINE MARITIME
RAMECOURT;48.3088372975, 6.09746519349;VOSGES
VILLEFRANCHE D ALLIER;46.3963110357, 2.84126895926;ALLIER
MEHARICOURT;49.7967919202, 2.73103944446;SOMME
STE CROIX;44.7327105467, 0.828547816645;DORDOGNE
SISSY;49.8106555228, 3.42084647603;AISNE
SOUAL;43.5511250266, 2.12888668782;TARN
ROQUEFORT LA BEDOULE;43.2510907217, 5.62904634328;BOUCHES DU RHONE
LES BARILS;48.7252205742, 0.8185826173;EURE
CAISSARGUES;43.7920118667, 4.39549848347;GARD
MARESTAING;43.5842074284, 1.01573782647;GERS
CONDE SUR L ESCAUT;50.4678612037, 3.60589087978;NORD
BOURGANEUF;45.9488316106, 1.74900640908;CREUSE
DOMPREL;47.1975252218, 6.4793837741;DOUBS
BOURGVILAIN;46.3647474088, 4.63745643185;SAONE ET LOIRE
REMENOVILLE;48.4639098729, 6.47480886613;MEURTHE ET MOSELLE
NIEDERMODERN;48.8407663139, 7.63538850073;BAS RHIN
LOMMERANGE;49.3284282334, 5.97092420783;MOSELLE
PONT SALOMON;45.3352775627, 4.24335306756;HAUTE LOIRE
DAINVILLE BERTHELEVILLE;48.4507669673, 5.50858709349;MEUSE
ST MARTIN DE QUEYRIERES;44.8375257288, 6.58255010654;HAUTES ALPES
MALEMORT DU COMTAT;44.0188189905, 5.16741843804;VAUCLUSE
CHIVRES VAL;49.4029298198, 3.43836038727;AISNE
STE HONORINE DU FAY;49.0700697986, -0.491095883025;CALVADOS
FENNEVILLER;48.4851073736, 6.88313404801;MEURTHE ET MOSELLE
MARNAY SUR MARNE;48.0110920714, 5.23259645475;HAUTE MARNE
SOLEILHAS;43.8599760555, 6.64860753226;ALPES DE HAUTE PROVENCE
AMBES;45.0115337381, -0.548307688841;GIRONDE
LA CRESSE;44.1676766844, 3.15670064587;AVEYRON
VALLEROIS LE BOIS;47.5524024642, 6.2989589565;HAUTE SAONE
CAMPROND;49.0858024109, -1.33862320377;MANCHE
GAVRES;47.6951381724, -3.33453004583;MORBIHAN
LA BRIONNE;46.1643596252, 1.78886937699;CREUSE
MILLAY;46.8347484024, 3.99024145825;NIEVRE
LES GRANDES LOGES;49.064046771, 4.28902555718;MARNE
COUTURE SUR LOIR;47.7491446758, 0.685596092581;LOIR ET CHER
ANAIS;45.7689915038, 0.206024179916;CHARENTE
TERMINIERS;48.0896452774, 1.72961042495;EURE ET LOIR
ST PIERRE DU MONT;47.3972230217, 3.44528921516;NIEVRE
ST PIERRE DE CHIGNAC;45.110891602, 0.863217911356;DORDOGNE
LESPIELLE;43.4688456772, -0.154777907241;PYRENEES ATLANTIQUES
CAMBRAI;50.1702775977, 3.24221021072;NORD
DUNTZENHEIM;48.7134280666, 7.54291307036;BAS RHIN
BAZARNES;47.6601599363, 3.64377288965;YONNE
LAIZE;46.3824360235, 4.80406518536;SAONE ET LOIRE
LAPEYROUSE;45.9859131165, 4.98196682865;AIN
LA ROMIEU;43.9866068735, 0.503612353282;GERS
REAUVILLE;44.4518475355, 4.83915693075;DROME
THEVET ST JULIEN;46.6344948494, 2.06994108021;INDRE
MOLESME;47.94702901, 4.38133026701;COTE D OR
NOAILLAN;44.4800097936, -0.360121243141;GIRONDE
FIENVILLERS;50.1178805706, 2.23440676149;SOMME
HOSTENS;44.4849173448, -0.656859781081;GIRONDE
ST SIMEUX;45.6340380938, -0.0343232416979;CHARENTE
HARAVILLIERS;49.1752644516, 2.03713061027;VAL D OISE
ALAIRAC;43.1820306523, 2.2370439206;AUDE
ST PROJET;44.3109210238, 1.77087641196;TARN ET GARONNE
ST LEU LA FORET;49.0202164812, 2.24676044206;VAL D OISE
CHASSAGNE;45.492969211, 3.06150388982;PUY DE DOME
VILLE DEVANT BELRAIN;48.8765037549, 5.3538368109;MEUSE
WALSCHBRONN;49.154023233, 7.47376788664;MOSELLE
TIEFFENBACH;48.9024013107, 7.24423915317;BAS RHIN
PARDIES;43.3669144852, -0.586119410196;PYRENEES ATLANTIQUES
LABATUT RIVIERE;43.5257802018, 0.0335259810087;HAUTES PYRENEES
RAPEY;48.3170560275, 6.25241175461;VOSGES
ROCLES;46.4445146062, 3.03677199137;ALLIER
SANTILLY;48.1486900011, 1.87957339759;EURE ET LOIR
VILLERS POL;50.2889516363, 3.6151652439;NORD
LES BAROCHES;49.229921661, 5.88812607827;MEURTHE ET MOSELLE
MORNANT;45.6159773607, 4.67379130422;RHONE
MARCHEPRIME;44.7030054504, -0.856342535157;GIRONDE
GESNES;48.1503325044, -0.593903165779;MAYENNE
MIRAMBEAU;43.4059897744, 0.863062543914;HAUTE GARONNE
ALOS;44.0205135175, 1.87448422002;TARN
SAINS;48.5560551633, -1.60318300159;ILE ET VILAINE
PARS LES ROMILLY;48.4812645725, 3.72853000882;AUBE
CLAVY WARBY;49.7451097313, 4.54792951567;ARDENNES
ST ASTIER;45.1484357281, 0.519678090961;DORDOGNE
BOURCQ;49.3822218647, 4.61799279484;ARDENNES
GRIPPORT;48.4156194741, 6.24799886583;MEURTHE ET MOSELLE
ST GRIEDE;43.7245038099, -0.0964853387859;GERS
VILLERS SOUS CHALAMONT;46.9017661774, 6.04590580745;DOUBS
ST PALAIS SUR MER;45.6579754062, -1.10115118709;CHARENTE MARITIME
MONTFAUCON D ARGONNE;49.2564181066, 5.13457463823;MEUSE
LA MONNERIE LE MONTEL;45.8732657663, 3.6116173358;PUY DE DOME
COUSTOUGE;43.0570093399, 2.74399307866;AUDE
HAUTERIVES;45.2531318961, 5.03890051162;DROME
ST GROUX;45.8908643906, 0.158281898668;CHARENTE
ANDOUILLE;48.1771432995, -0.792693064482;MAYENNE
CONTEST;48.2595526249, -0.68989469528;MAYENNE
CHATENOIS;47.6842959157, 6.31922142817;HAUTE SAONE
LA MALHOURE;48.3961928659, -2.49404154442;COTES D ARMOR
VICQ;48.821484306, 1.82843694709;YVELINES
ST SIMEON DE BRESSIEUX;45.3258985851, 5.26249818332;ISERE
SAVERNE;48.7402250066, 7.34206238199;BAS RHIN
SAUSSES;44.0122711291, 6.77936939324;ALPES DE HAUTE PROVENCE
MOUILLAC;44.2755002172, 1.67305723666;TARN ET GARONNE
FROCOURT;49.3813474009, 2.08360584323;OISE
BEBLENHEIM;48.1591484173, 7.34155964145;HAUT RHIN
ROQUEBILLIERE;44.0270951827, 7.29269467197;ALPES MARITIMES
CHASSIGNY;47.7183172965, 5.38247891273;HAUTE MARNE
LE MESNIL EUDES;49.0931243426, 0.174720146197;CALVADOS
LOURY;48.0101727408, 2.09187881925;LOIRET
AILLIANVILLE;48.3333027636, 5.48294419471;HAUTE MARNE
PANNECIERES;48.2928470394, 2.14266488895;LOIRET
FRUGES;50.5130111281, 2.1230697319;PAS DE CALAIS
ABILLY;46.9411244235, 0.734787296451;INDRE ET LOIR
URVILLE;48.1668057798, 4.66928684991;AUBE
CHAMBON LA FORET;48.0490368743, 2.28348190868;LOIRET
PRETZ EN ARGONNE;48.9614732775, 5.14788383834;MEUSE
FONTAINES EN DUESMOIS;47.6493383803, 4.53511047065;COTE D OR
DAVEZIEUX;45.2551141043, 4.70210482466;ARDECHE
GUILLESTRE;44.6680987436, 6.7010158705;HAUTES ALPES
VAILHAN;43.5542014743, 3.29989404644;HERAULT
L HUISSERIE;48.0167338344, -0.766387903128;MAYENNE
COURDEMANGES;48.6799310548, 4.50944976193;MARNE
VILLEJESUS;45.9072730643, 0.0325227133588;CHARENTE
BEZOUOTTE;47.3838896873, 5.3354189969;COTE D OR
THIL;48.3409418137, 4.78858247296;AUBE
MENARS;47.6472843948, 1.3998472166;LOIR ET CHER
CHATEAUBERNARD;45.6720237128, -0.316074717824;CHARENTE
FRANCHESSE;46.6436566411, 3.03662004358;ALLIER
BEAUMONT DU VENTOUX;44.1826393714, 5.21385670497;VAUCLUSE
HOMBLEUX;49.743120483, 2.99136474689;SOMME
VIENNE EN BESSIN;49.2812059817, -0.627760995032;CALVADOS
LUSSANT;45.9428507855, -0.822245809156;CHARENTE MARITIME
SAVIGNEUX;45.997346828, 4.8576200906;AIN
MAGNE;46.3496002634, 0.391444598255;VIENNE
LANDELLES ET COUPIGNY;48.8983991959, -1.00295458631;CALVADOS
GIMONT;43.6206403859, 0.880976872847;GERS
OGEU LES BAINS;43.1558515448, -0.504099362447;PYRENEES ATLANTIQUES
BOUILLY EN GATINAIS;48.0981078999, 2.28756909213;LOIRET
BRUNEMONT;50.2745061343, 3.14482312096;NORD
ROMBLY;50.5951805534, 2.38984957197;PAS DE CALAIS
LA BAUSSAINE;48.3125973519, -1.89690518191;ILE ET VILAINE
NOHANENT;45.8109222583, 3.05794637762;PUY DE DOME
SAULNIERES;48.6650549297, 1.26632253638;EURE ET LOIR
ST CLAIR DU RHONE;45.4354138205, 4.77287890453;ISERE
TOURNEDOS BOIS HUBERT;49.0739979281, 0.987864506785;EURE
ST CYR SUR MENTHON;46.2754005606, 4.96757105158;AIN
CHAPPES;46.3828961665, 2.94412358895;ALLIER
TROISSEREUX;49.4839349109, 2.05750411907;OISE
ST PAUL;45.6725948958, 5.79201634508;SAVOIE
FRAVAUX;48.2361442581, 4.64187603164;AUBE
LA CHAPELLE JANSON;48.3352768083, -1.08530349718;ILE ET VILAINE
ST BONNET DE BELLAC;46.1636002439, 0.93811461782;HAUTE VIENNE
BERTRE;43.6053640705, 1.94349435829;TARN
LA BAUCHE;45.4819870888, 5.7703646358;SAVOIE
SAISSAC;43.3660090567, 2.16153708941;AUDE
CHARMOIS DEVANT BRUYERES;48.1715459649, 6.59203655593;VOSGES
